STS-1;1981.04.12;Columbia;2;6;Edwards;2
STS-2;1981.11.12;Columbia;2;6;Edwards;2
STS-3;1982.03.22;Columbia;8;0;White Sands;2
STS-4;1982.06.27;Columbia;7;1;Edwards;2
STS-5;1982.11.11;Columbia;5;2;Edwards;4
STS-6;1983.04.04;Challenger;5;0;Edwards;4
STS-7;1983.06.18;Challenger;6;2;Edwards;5
STS-8;1983.08.30;Challenger;6;1;Edwards;5
STS-9;1983.11.28;Columbia;10;7;Edwards;6
STS-41-B;1984.02.03;Challenger;7;23;Kennedy;5
STS-41-C;1984.04.06;Challenger;6;23;Edwards;5
STS-41-D;1984.08.30;Discovery;6;0;Edwards;6
STS-41-G;1984.10.05;Challenger;8;5;Kennedy;7
STS-51-A;1984.11.08;Discovery;7;23;Kennedy;5
STS-51-C;1985.01.24;Discovery;3;1;Kennedy;5
STS-51-D;1985.04.12;Discovery;6;23;Kennedy;7
STS-51-B;1985.04.29;Challenger;7;0;Edwards;7
STS-51-G;1985.06.17;Discovery;7;1;Edwards;7
STS-51-F;1985.07.29;Challenger;7;22;Edwards;7
STS-51-I;1985.08.27;Discovery;7;2;Edwards;5
STS-51-J;1985.10.03;Atlantis;4;1;Edwards;5
STS-61-A;1985.10.30;Challenger;7;0;Edwards;8
STS-61-B;1985.11.26;Atlantis;6;21;Edwards;7
STS-61-C;1986.01.12;Columbia;6;2;Edwards;7
STS-51-L;1986.01.28;Challenger;0;0;nem landolt;7
STS-26R;1988.09.29;Discovery;4;1;Edwards;5
STS-27R;1988.12.02;Atlantis;4;9;Edwards;5
STS-29R;1989.03.13;Discovery;4;23;Edwards;5
STS-30R;1989.05.04;Atlantis;4;0;Edwards;5
STS-28R;1989.08.08;Columbia;5;1;Edwards;5
STS-34R;1989.10.18;Atlantis;4;23;Edwards;5
STS-33R;1989.11.22;Discovery;5;0;Edwards;5
STS-32;1990.01.09;Columbia;10;21;Edwards;5
STS-36;1990.02.28;Atlantis;4;10;Edwards;5
STS-31;1990.04.24;Discovery;5;1;Edwards;5
STS-41;1990.10.06;Discovery;4;2;Edwards;5
STS-38;1990.11.15;Atlantis;4;21;Kennedy;5
STS-35;1990.12.02;Columbia;8;23;Edwards;7
STS-37;1991.04.05;Atlantis;5;23;Edwards;5
STS-39;1991.04.28;Discovery;8;7;Kennedy;7
STS-40;1991.06.05;Columbia;9;2;Edwards;7
STS-43;1991.08.02;Atlantis;8;21;Kennedy;5
STS-48;1991.09.12;Discovery;5;8;Edwards;5
STS-44;1991.11.24;Atlantis;6;22;Edwards;6
STS-42;1992.01.22;Discovery;8;1;Edwards;7
STS-45;1992.03.24;Atlantis;8;22;Kennedy;7
STS-49;1992.05.07;Endeavour;8;21;Edwards;7
STS-50;1992.06.25;Columbia;13;19;Kennedy;7
STS-46;1992.07.31;Atlantis;7;23;Kennedy;7
STS-47;1992.09.12;Endeavour;7;22;Kennedy;7
STS-52;1992.10.22;Columbia;9;20;Kennedy;6
STS-53;1992.12.02;Discovery;7;7;Edwards;5
STS-54;1993.01.13;Endeavour;5;23;Kennedy;5
STS-56;1993.04.08;Discovery;9;6;Kennedy;5
STS-55;1993.04.26;Columbia;9;23;Edwards;7
STS-57;1993.06.21;Endeavour;9;23;Kennedy;6
STS-51;1993.09.12;Discovery;9;20;Kennedy;5
STS-58;1993.10.18;Columbia;14;0;Edwards;7
STS-61;1993.12.02;Endeavour;10;19;Kennedy;7
STS-60;1994.02.03;Discovery;7;6;Kennedy;6
STS-62;1994.03.04;Columbia;13;23;Kennedy;5
STS-59;1994.04.09;Endeavour;11;5;Edwards;6
STS-65;1994.07.08;Columbia;14;17;Kennedy;7
STS-64;1994.09.09;Discovery;10;22;Edwards;6
STS-68;1994.09.30;Endeavour;11;5;Edwards;6
STS-66;1994.11.03;Atlantis;10;22;Edwards;6
STS-63;1995.02.03;Discovery;8;6;Kennedy;6
STS-67;1995.03.02;Endeavour;16;15;Edwards;7
STS-71;1995.06.27;Atlantis;9;19;Kennedy;8
STS-70;1995.07.13;Discovery;8;22;Kennedy;5
STS-69;1995.09.07;Endeavour;10;20;Kennedy;5
STS-73;1995.10.20;Columbia;15;21;Kennedy;7
STS-74;1995.11.12;Atlantis;8;4;Kennedy;5
STS-72;1996.01.11;Endeavour;8;22;Kennedy;6
STS-75;1996.02.22;Columbia;15;17;Kennedy;7
STS-76;1996.03.22;Atlantis;9;5;Edwards;6
STS-77;1996.05.19;Endeavour;10;0;Kennedy;6
STS-78;1996.06.20;Columbia;16;21;Kennedy;7
STS-79;1996.09.16;Atlantis;10;3;Kennedy;6
STS-80;1996.11.19;Columbia;17;15;Kennedy;5
STS-81;1997.01.12;Atlantis;10;4;Kennedy;6
STS-82;1997.02.11;Discovery;9;23;Kennedy;7
STS-83;1997.04.04;Columbia;3;23;Kennedy;7
STS-84;1997.05.15;Atlantis;9;5;Kennedy;7
STS-94;1997.07.01;Columbia;15;16;Kennedy;7
STS-85;1997.08.07;Discovery;11;20;Kennedy;6
STS-86;1997.09.25;Atlantis;10;19;Kennedy;7
STS-87;1997.11.19;Columbia;15;16;Kennedy;6
STS-89;1998.01.22;Endeavour;8;19;Kennedy;7
STS-90;1998.04.17;Columbia;15;21;Kennedy;7
STS-91;1998.06.02;Discovery;9;19;Kennedy;7
STS-95;1998.10.29;Discovery;8;21;Kennedy;7
STS-88;1998.12.04;Endeavour;11;19;Kennedy;6
STS-96;1999.05.27;Discovery;9;19;Kennedy;7
STS-93;1999.07.23;Columbia;4;22;Kennedy;5
STS-103;1999.12.19;Discovery;7;23;Kennedy;7
STS-99;2000.02.11;Endeavour;11;5;Kennedy;6
STS-101;2000.05.19;Atlantis;9;21;Kennedy;7
STS-106;2000.09.08;Atlantis;11;19;Kennedy;7
STS-92;2000.10.11;Discovery;12;21;Edwards;7
STS-97;2000.11.30;Endeavour;10;19;Kennedy;5
STS-98;2001.02.07;Atlantis;12;21;Edwards;5
STS-102;2001.03.08;Discovery;12;19;Kennedy;7
STS-100;2001.04.19;Endeavour;11;21;Edwards;7
STS-104;2001.07.12;Atlantis;12;18;Kennedy;5
STS-105;2001.08.10;Discovery;11;21;Kennedy;7
STS-108;2001.12.05;Endeavour;11;19;Kennedy;7
STS-109;2002.03.01;Columbia;10;22;Kennedy;7
STS-110;2002.04.08;Atlantis;10;19;Kennedy;7
STS-111;2002.06.05;Endeavour;13;20;Edwards;7
STS-112;2002.10.07;Atlantis;10;19;Kennedy;6
STS-113;2002.11.23;Endeavour;13;18;Kennedy;7
STS-107;2003.01.16;Columbia;15;22;nem landolt;7
STS-114;2005.07.26;Discovery;13;21;Edwards;7
STS-121;2006.07.04;Discovery;12;18;Kennedy;7
STS-115;2006.09.09;Atlantis;11;19;Kennedy;6
STS-116;2006.12.09;Discovery;12;21;Kennedy;7
STS-117;2007.06.08;Atlantis;13;20;Edwards;7
STS-118;2007.08.08;Endeavour;12;18;Kennedy;7
STS-120;2007.10.23;Discovery;15;2;Kennedy;7
STS-122;2008.02.07;Atlantis;12;18;Kennedy;7
STS-123;2008.03.11;Endeavour;15;18;Kennedy;7
STS-124;2008.05.31;Discovery;13;18;Kennedy;7
STS-126;2008.11.14;Endeavour;15;20;Edwards;7
STS-119;2009.03.15;Discovery;12;19;Kennedy;7
STS-125;2009.05.11;Atlantis;12;21;Edwards;7
STS-127;2009.07.15;Endeavour;15;16;Kennedy;7
STS-128;2009.08.28;Discovery;13;21;Edwards;7
STS-129;2009.11.16;Atlantis;10;19;Kennedy;6
STS-130;2010.02.08;Endeavour;13;18;Kennedy;6
STS-131;2010.04.05;Discovery;15;3;Kennedy;7
STS-132;2010.05.14;Atlantis;11;18;Kennedy;6
STS-133;2011.02.24;Discovery;12;19;Kennedy;6
STS-134;2011.05.16;Endeavour;15;18;Kennedy;6
STS-135;2011.07.08;Atlantis;12;18;Kennedy;4
